last_name, first_name,player_id,year,b_ab,b_total_pa,b_single,b_double,b_triple,b_home_run,b_walk,b_k_percent,b_bb_percent,on_base_plus_slg,isolated_power,b_rbi,b_total_bases,r_total_caught_stealing,r_total_stolen_base,b_hit_by_pitch,r_run,r_stolen_base_pct,xba,xslg,xwoba,xobp,xiso,exit_velocity_avg,launch_angle_avg,sweet_spot_percent,barrels,barrel_batted_rate,hard_hit_percent,whiff_percent,swing_percent,groundballs_percent,flyballs_percent,sprint_speed,
Kemp, Tony,643393,2021,91,114,17,5,2,2,16,15.8,14.0,.828,.165,11,41,1,3,1,13,,.243,.338,.317,.358,.095,86,19.5,41.3,0,0,22.5,17.9,42.3,33.8,25,26.7,
Kiner-Falefa, Isiah,643396,2021,238,253,50,11,2,5,8,16.2,3.2,.732,.126,23,98,1,10,5,32,,.277,.380,.304,.313,.104,86.4,2.9,30,6,3,32.5,18.3,48.6,59.1,11.8,27.7,
McNeil, Jeff,643446,2021,99,113,17,4,0,3,12,8.0,10.6,.710,.131,8,37,0,1,2,13,,.248,.428,.337,.341,.180,88.4,12.2,28.9,5,5.6,36.7,17.6,55.4,45.6,25.6,27.1,
Tauchman, Mike,643565,2021,113,135,16,4,0,2,20,28.9,14.8,.602,.088,8,32,3,3,1,17,,.179,.275,.270,.304,.096,86.2,9.8,37.2,2,2.6,33.3,32.6,43.8,46.2,23.1,27.5,
Chang, Yu,644374,2021,79,84,8,5,0,1,4,28.6,4.8,.493,.101,10,22,0,1,0,9,,.200,.331,.244,.234,.131,87.1,26.8,28.8,5,8.5,37.3,23.8,47,28.8,25.4,28.1,
Albies, Ozzie,645277,2021,203,228,21,17,3,9,20,16.2,8.8,.813,.246,34,100,1,4,3,34,,.275,.513,.365,.344,.237,89.4,21.8,38.7,19,11,38.2,27.3,55.4,29.5,40.5,28.2,
Robles, Victor,645302,2021,128,150,20,7,1,0,15,23.3,10.0,.616,.070,5,37,3,5,6,12,,.223,.331,.300,.336,.108,86.6,20.9,29.6,3,3.1,33.7,23.4,44.1,37.8,24.5,28.1,
Ford, Mike,645801,2021,60,72,5,0,0,3,11,31.9,15.3,.561,.150,5,17,0,0,1,6,,.184,.421,.319,.320,.237,90.9,15.6,35.1,7,18.9,48.6,29.7,34.6,37.8,40.5,23.1,
Devers, Rafael,646240,2021,203,226,25,17,0,15,19,27.4,8.4,.931,.305,48,119,3,3,2,37,,.286,.596,.396,.356,.310,92.6,9.3,36.5,28,18.9,54.7,29.9,57.6,45.9,25,27.6,
Naylor, Josh,647304,2021,176,189,30,9,0,5,10,20.1,5.3,.683,.136,15,68,0,1,2,20,,.249,.410,.307,.299,.161,88.2,8.4,30.5,11,7.8,39,21.5,53.2,51.8,16.3,26.3,
Diaz, Aledmys,649557,2021,112,122,19,8,0,3,4,15.6,3.3,.748,.152,18,47,0,0,6,14,,.302,.506,.369,.363,.205,89.2,13.4,38.5,10,10.4,47.9,21.3,54.7,41.7,22.9,26.6,
Urias, Luis,649966,2021,155,182,19,8,0,6,23,24.7,12.6,.694,.168,24,59,0,2,1,16,,.232,.457,.334,.328,.225,88.4,13.5,33.3,13,11.1,42.7,24,46.1,41,31.6,26.7,
Arraez, Luis,650333,2021,141,162,34,3,1,1,17,11.1,10.5,.691,.057,14,47,1,0,2,20,,.308,.453,.364,.387,.145,90.3,8.8,40.8,4,3.2,38.4,12,42.6,47.2,20,26.2,
Torres, Gleyber,650402,2021,176,200,38,7,0,3,23,19.0,11.5,.719,.091,22,64,2,3,0,18,,.263,.411,.332,.343,.148,85.4,15,35.1,8,5.4,33.1,25.4,46.1,41.2,29.1,26.9,
Castro, Willi,650489,2021,161,177,25,7,2,3,9,27.7,5.1,.642,.124,18,57,0,2,5,20,,.223,.330,.275,.286,.107,84.9,15.3,34.7,4,3.4,28.8,32.5,54.6,44.1,24.6,28.3,
Diaz, Yandy,650490,2021,179,219,38,7,0,0,37,13.2,16.9,.674,.039,16,52,0,0,2,20,,.247,.354,.335,.382,.106,90,2.8,26.3,6,3.8,37.2,17.2,39,57.7,17.3,26.0,
Chapman, Matt,656305,2021,196,237,27,6,2,5,33,31.6,13.9,.644,.128,23,65,0,1,1,22,,.190,.326,.283,.301,.136,87.7,14.9,30.8,11,8.5,36.2,34.2,42.6,37.7,33.8,28.1,
Diaz, Isan,656371,2021,70,87,6,1,0,2,13,26.4,14.9,.493,.100,9,16,0,0,1,4,,.227,.361,.307,.350,.134,88.4,12.3,33.3,3,5.3,31.6,32.2,41.9,42.1,31.6,25.5,
Hoskins, Rhys,656555,2021,212,236,31,14,0,12,20,26.7,8.5,.844,.236,35,107,0,2,3,32,,.245,.488,.342,.316,.243,91.4,18.9,36.6,20,13.1,47.7,28.5,45.2,35.3,31.4,26.4,
Joe, Connor,656582,2021,43,52,8,2,0,0,9,23.1,17.3,.644,.047,4,12,0,0,0,2,,.274,.391,.357,.400,.117,85.7,12.3,38.7,2,6.5,32.3,22.5,36,35.5,16.1,26.9,
Luplow, Jordan,656669,2021,98,121,5,5,0,7,21,25.6,17.4,.769,.265,20,43,2,0,2,12,,.187,.447,.345,.341,.260,88.1,22.4,28.4,9,13.4,34.3,29.6,41.3,32.8,44.8,27.5,
McKinstry, Zach,656716,2021,70,76,9,5,0,3,4,23.7,5.3,.732,.200,16,31,0,1,1,10,,.234,.396,.287,.281,.162,89.3,12.7,32.1,4,7.5,35.8,22.2,46.2,47.2,30.2,27.7,
Mullins II, Cedric,656775,2021,223,249,45,14,3,8,23,18.1,9.2,.889,.197,16,114,4,9,1,30,,.274,.436,.342,.347,.162,89.4,14.7,36.1,10,5.5,39.9,18.6,46.4,42.1,28.4,28.5,
O'Hearn, Ryan,656811,2021,53,57,6,1,0,3,4,35.1,7.0,.623,.189,6,20,1,0,0,6,,.218,.455,.310,.273,.236,90.7,19.6,36.4,4,12.1,48.5,29.6,48,36.4,42.4,27.9,
Schwarber, Kyle,656941,2021,175,198,23,8,0,9,19,28.8,9.6,.747,.200,25,75,1,1,4,20,,.240,.453,.336,.326,.213,91.1,12.6,31.4,14,11.6,51.2,29.8,42.2,46.3,28.9,26.8,
Smith, Pavin,656976,2021,206,225,39,13,3,5,16,15.6,7.1,.803,.165,21,94,0,1,2,34,,.303,.498,.370,.358,.195,87.9,6.8,37.3,13,7.3,48,16.2,43.5,49.2,19.2,26.6,
Verdugo, Alex,657077,2021,197,217,39,10,1,7,16,12.9,7.4,.802,.168,24,90,0,4,2,34,,.303,.491,.365,.362,.188,89.9,7.2,37.4,11,6.1,40.2,15.4,45.6,51.4,20.7,26.5,
White, Evan,657108,2021,97,104,9,3,0,2,6,29.8,5.8,.439,.093,9,23,0,0,1,8,,.191,.297,.241,.246,.105,85.2,19.6,30.3,3,4.5,28.8,29.9,48.2,43.9,24.2,28.0,
DeJong, Paul,657557,2021,124,141,12,3,0,7,15,22.7,10.6,.648,.194,17,46,0,2,2,18,,.239,.496,.354,.330,.258,86,16.1,35.9,12,13,38,25,49.3,35.9,29.3,27.5,
Laureano, Ramon,657656,2021,183,205,26,8,2,11,17,26.8,8.3,.834,.246,22,92,3,8,4,30,,.259,.535,.368,.334,.276,89.4,10.7,35.7,19,14.7,45.7,26.7,46.8,42.6,32.6,28.1,
Fuentes, Joshua,658069,2021,171,181,26,11,1,5,9,22.7,5.0,.702,.164,27,71,0,0,0,22,,.220,.308,.252,.263,.088,85.5,16.7,32.1,3,2.2,30.6,27.2,58.8,40.3,31.3,27.5,
Moncada, Yoan,660162,2021,190,235,41,12,0,4,39,26.8,16.6,.856,.126,29,81,1,0,5,29,,.286,.481,.392,.417,.195,91.2,10.7,47,14,10.6,46.2,29.6,40.2,39.4,19.7,27.8,
Ohtani, Shohei,660271,2021,197,218,20,12,3,16,17,29.8,7.8,.920,.335,42,117,3,7,3,36,,.262,.603,.395,.340,.341,92.7,17.2,33.1,30,22.6,53.4,34.9,50,37.6,32.3,29.0,
Tsutsugo, Yoshi,660294,2021,103,118,12,4,0,0,14,33.1,11.9,.448,.039,7,20,0,0,0,7,,.165,.241,.236,.265,.076,89.9,14,20,1,1.5,40,28.6,45,47.7,30.8,26.2,
Acuna Jr., Ronald,660670,2021,188,224,26,9,1,17,29,20.5,12.9,.996,.330,35,115,3,10,4,44,,.295,.627,.436,.406,.331,94.3,19.2,35.8,28,18.9,58.1,24.5,41.5,33.8,31.1,29.2,
Contreras, William,661388,2021,76,87,10,1,1,5,8,32.2,9.2,.771,.237,17,35,0,0,2,12,,.251,.494,.353,.335,.243,93.5,7,30.8,9,17.3,53.8,34.4,50.8,44.2,28.8,26.9,
Hoerner, Nico,663538,2021,74,84,18,7,0,0,9,14.3,10.7,.837,.095,9,32,1,3,0,9,,.309,.420,.344,.380,.111,89.9,4.5,36.5,2,3.2,42.9,19.6,48.5,54,12.7,28.9,
Riley, Austin,663586,2021,183,214,38,8,0,10,22,28.5,10.3,.906,.208,24,94,0,0,6,30,,.258,.480,.354,.350,.222,89.2,11.4,29.7,16,12.5,43,29.4,48.2,46.1,22.7,27.4,
Madrigal, Nick,663611,2021,190,204,43,8,4,2,10,7.8,4.9,.759,.116,20,79,2,1,3,29,,.262,.327,.287,.310,.065,85.2,2.1,27.5,2,1.1,21.9,8.2,45.7,59.6,15.2,28.1,
Larnach, Trevor,663616,2021,66,82,9,5,0,3,13,26.8,15.9,.872,.212,7,31,0,0,3,9,,.253,.494,.386,.394,.241,90.9,15.5,44.7,8,17,46.8,38.3,44,40.4,21.3,25.4,
Mountcastle, Ryan,663624,2021,192,204,27,11,1,8,7,31.4,3.4,.712,.193,28,84,1,3,2,21,,.228,.425,.298,.264,.197,89,13.5,37.8,14,10.4,40.7,35,56.8,37.8,32.6,28.1,
Tucker, Kyle,663656,2021,208,233,30,11,1,11,20,16.3,8.6,.794,.221,35,99,0,5,1,37,,.316,.568,.395,.375,.251,91,17.6,39.3,17,9.6,46.6,20.5,52.5,35.4,32.6,27.6,
India, Jonathan,663697,2021,138,166,25,4,2,5,18,19.9,10.8,.795,.167,24,59,1,3,7,17,,.237,.417,.337,.350,.180,87,10.5,25.2,11,9.9,36,26.6,41.8,50.5,25.2,28.7,
Grisham, Trent,663757,2021,136,154,26,7,2,6,18,26.0,11.7,.898,.213,14,70,1,7,0,23,,.250,.416,.330,.338,.166,90.8,15.7,29.2,6,6.3,43.8,27.8,36.3,40.6,22.9,28.5,
Stephenson, Tyler,663886,2021,119,135,22,6,0,3,13,19.3,9.6,.735,.126,13,46,0,0,3,18,,.266,.415,.340,.360,.149,88.5,7.9,32.3,7,7.3,34.4,19.3,39.3,55.2,14.6,26.7,
Lowe, Nate,663993,2021,216,252,37,7,0,8,34,28.6,13.5,.729,.144,31,83,0,4,1,27,,.241,.444,.343,.346,.203,90.9,6.3,36.1,18,12.2,44.2,30.1,41.6,50.3,23.1,27.3,
Happ, Ian,664023,2021,156,184,19,4,0,6,24,29.3,13.0,.631,.141,15,51,1,1,3,18,,.224,.376,.324,.344,.153,89.9,6.8,28.6,10,9.5,50.5,33,41.4,51.4,27.6,26.9,
France, Ty,664034,2021,180,205,28,14,0,3,18,19.5,8.8,.714,.128,21,68,0,0,6,24,,.241,.390,.322,.330,.149,87.6,12.5,36.3,13,8.9,36.3,21.1,49.2,42.5,22.6,25.1,
Lowe, Brandon,664040,2021,195,227,21,6,0,10,26,31.3,11.5,.674,.185,24,73,1,3,5,27,,.225,.446,.333,.332,.221,89,13.4,35.1,16,12.2,37.4,35.5,51.5,40.5,29,27.8,
Bader, Harrison,664056,2021,73,83,10,2,0,4,9,15.7,10.8,.712,.192,9,30,1,3,0,8,,.238,.427,.302,.320,.189,85.6,17.1,24.6,4,6.6,29.5,21.3,44.2,41,31.1,29.4,
Stevenson, Andrew,664057,2021,89,100,17,2,0,2,6,31.0,6.0,.616,.090,9,29,1,0,2,14,,.250,.375,.305,.311,.125,88.7,5.4,25.8,3,4.8,41.9,28.7,46.6,58.1,19.4,29.3,
Fletcher, David,664058,2021,213,227,48,6,1,0,10,11.5,4.4,.582,.038,16,63,1,3,0,32,,.271,.313,.274,.302,.042,81.7,8.3,31.8,0,0,15.4,9,40,47.7,16.9,27.6,
Haggerty, Sam,664059,2021,86,94,11,3,0,2,6,29.8,6.4,.535,.105,5,25,1,5,1,15,,.219,.375,.287,.278,.156,87.5,7.6,35.6,3,5.1,39,31.1,48.5,52.5,20.3,29.5,
Moore, Dylan,664238,2021,119,137,8,7,0,5,16,31.4,11.7,.623,.185,19,42,1,8,1,14,,.205,.356,.294,.303,.152,86.7,16.7,32.5,9,11.7,32.5,28,39.6,36.4,26,28.1,
Garlick, Kyle,664247,2021,88,93,9,8,0,5,3,30.1,3.2,.791,.261,10,45,0,1,1,16,,.265,.555,.367,.315,.291,89.1,21,37.9,9,13.6,42.4,29.3,46.6,36.4,33.3,26.9,
Straw, Myles,664702,2021,187,211,38,7,1,0,19,19.0,9.0,.612,.048,19,55,4,7,2,20,,.249,.313,.287,.323,.064,86,8.4,43.4,1,0.7,21.7,12.9,42,46.7,19.1,28.9,
Bohm, Alec,664761,2021,203,220,32,7,0,4,13,28.2,5.9,.560,.094,25,62,0,3,0,20,,.257,.415,.311,.302,.158,92.1,4.7,36.1,12,8.2,47.6,26.3,49.1,52.4,17.7,27.8,
Tom, Ka'ai,664789,2021,72,92,9,1,0,2,12,25.0,13.0,.579,.097,11,19,0,1,5,8,,.201,.313,.315,.350,.111,84.2,9.1,29.6,3,5.6,27.8,31.3,45,46.3,22.2,28.1,
Mendick, Danny,664901,2021,55,64,9,0,0,2,8,26.6,12.5,.606,.109,10,17,0,0,0,4,,.221,.321,.288,.320,.100,82.9,18.1,35.9,1,2.6,30.8,23.7,40.7,30.8,23.1,26.4,
Brown, Seth,664913,2021,119,131,10,5,0,8,12,26.7,9.2,.704,.244,21,52,0,0,0,17,,.232,.469,.327,.300,.237,88,16.1,35.2,11,12.5,36.4,30.9,41.8,39.8,29.5,28.0,
Walsh, Jared,665120,2021,202,222,35,12,1,13,16,24.8,7.2,.925,.262,39,114,0,2,3,28,,.265,.451,.335,.330,.185,89.4,6.9,36.9,18,12.1,40.9,27.3,48.6,51,15.4,27.3,
Maton, Nick,665155,2021,102,108,18,6,0,2,5,32.4,4.6,.669,.118,8,38,0,2,1,9,,.227,.355,.277,.276,.128,88.2,16.4,35.8,5,7.5,35.8,31.9,51.7,32.8,31.3,27.1,
Tatis Jr., Fernando,665487,2021,151,177,19,9,0,17,22,24.9,12.4,1.074,.397,39,105,2,13,0,40,,.294,.651,.423,.380,.358,92.4,10.2,31.9,21,18.6,51.3,32.8,50.6,49.6,29.2,29.0,
Guerrero Jr., Vladimir,665489,2021,201,239,38,11,1,18,33,14.2,13.8,1.111,.333,47,135,0,1,4,44,,.310,.599,.426,.418,.289,94.5,8,32.5,25,14.8,52.7,27.9,45.1,48.5,21.3,27.0,
Pache, Cristian,665506,2021,63,68,3,3,0,1,2,36.8,2.9,.353,.095,4,13,0,0,1,6,,.151,.246,.196,.190,.095,81.7,8,20,2,5,27.5,37,56.8,55,17.5,28.9,
Soto, Juan,665742,2021,152,185,31,4,0,7,32,14.1,17.3,.841,.164,23,67,4,1,0,29,,.317,.582,.434,.442,.265,92.4,4.8,30.8,16,12.3,53.8,21.2,35.3,53.8,20,27.1,
Taveras, Leody,665750,2021,46,50,4,0,0,0,3,46.0,6.0,.247,.000,1,4,0,2,1,2,,.157,.228,.208,.224,.071,88.9,-0.5,13,1,4.3,34.8,30.1,45.6,65.2,17.4,29.7,
Chisholm Jr. Jr., Jazz,665862,2021,122,135,20,5,1,7,11,33.3,8.1,.833,.230,15,61,2,9,1,17,,.220,.409,.306,.293,.189,88.3,10.9,30.1,10,12,37.3,33,46.8,45.8,27.7,29.1,
Gimenez, Andres,665926,2021,78,85,8,4,0,2,3,29.4,3.5,.531,.128,5,24,0,4,2,10,,.183,.283,.230,.230,.100,86.2,11.6,18.2,3,5.5,32.7,36.1,55.6,49.1,30.9,28.3,
Kirilloff, Alex,666135,2021,100,106,14,6,0,4,5,26.4,4.7,.694,.180,18,42,1,0,0,13,,.295,.580,.380,.330,.285,92.6,8,42.1,11,14.5,47.4,30.3,54.2,46.1,22.4,27.6,
Lux, Gavin,666158,2021,169,185,28,6,2,5,13,22.7,7.0,.688,.148,25,66,1,1,1,23,,.261,.425,.319,.314,.164,88.9,12.2,36.9,8,6.2,36.9,25.5,48.4,43.8,25.4,29.0,
Bichette, Bo,666182,2021,229,247,36,12,1,11,15,25.9,6.1,.779,.205,34,107,0,7,2,45,,.261,.478,.338,.310,.216,90.9,4.1,31.8,22,12.9,51.2,26,55,53.5,21.2,28.2,
Carlson, Dylan,666185,2021,202,234,39,9,2,6,24,23.5,10.3,.790,.153,26,87,0,0,4,31,,.247,.397,.322,.336,.150,89.5,14.9,41.2,9,5.9,34.6,28.3,42.8,39.9,34.6,27.7,
Trammell, Taylor,666211,2021,100,113,8,5,0,5,11,39.8,9.7,.645,.200,13,38,2,2,1,16,,.160,.300,.250,.254,.140,84.6,11.5,29.3,5,8.6,32.8,42.6,46.7,46.6,15.5,28.1,
Dalbec, Bobby,666915,2021,147,157,15,8,1,6,9,35.7,5.7,.649,.190,24,58,0,1,1,12,,.224,.471,.316,.275,.247,90.6,16.7,38.3,16,17,41.5,40,47.2,38.3,31.9,28.2,
Garcia, Adolis,666969,2021,194,206,34,3,1,16,10,28.2,4.9,.867,.273,42,107,3,7,1,28,,.272,.553,.370,.313,.281,92.1,12.3,34.1,24,17.4,50,33,55.4,42,32.6,28.2,
Gurriel Jr., Lourdes,666971,2021,191,201,36,9,0,5,5,20.4,2.5,.666,.126,19,74,1,1,1,19,,.245,.378,.284,.272,.133,88.1,11.4,29.3,10,6.4,36.3,24.7,55.1,45.2,24.2,26.3,
Arozarena, Randy,668227,2021,213,243,37,10,0,7,24,28.0,9.9,.741,.146,27,85,2,8,5,36,,.204,.325,.278,.295,.121,91.2,6.6,23.2,9,6,41.7,35.5,44.7,53,21.2,28.4,
Baddoo, Akil,668731,2021,106,125,10,6,4,5,17,36.8,13.6,.845,.274,20,54,0,5,0,14,,.197,.397,.312,.310,.200,84.5,13.1,41.8,8,11.9,35.8,38.6,44.2,38.8,35.8,29.0,
Knizner, Andrew,668800,2021,72,81,11,4,0,0,7,21.0,8.6,.560,.056,2,19,0,0,2,10,,.217,.300,.268,.300,.083,85.9,11.3,32.8,1,1.7,32.8,20.1,46.6,48.3,13.8,25.8,
Reynolds, Bryan,668804,2021,196,228,32,17,0,7,29,22.4,12.7,.866,.194,25,94,1,0,3,32,,.276,.501,.378,.381,.225,88.3,10.9,33.1,16,10.6,38.4,27.2,46.1,45,27.8,28.4,
Rojas, Josh,668942,2021,177,202,28,12,1,7,22,24.3,10.9,.815,.198,17,83,0,2,0,29,,.241,.409,.320,.321,.169,89.8,9.1,40.9,10,7.6,40.9,26.8,40.8,50.8,21.2,27.5,
Murphy, Sean,669221,2021,158,180,17,12,0,6,14,26.7,7.8,.723,.190,30,65,0,0,7,15,,.233,.466,.339,.321,.233,90.8,12.7,33.3,15,13.2,45.6,30.4,47.5,42.1,26.3,26.0,
Senzel, Nick,669222,2021,111,124,23,4,0,1,12,12.9,9.7,.638,.063,8,35,5,2,0,18,,.307,.440,.354,.372,.133,88.9,10.5,33.3,4,4.2,39.6,17.8,52.5,45.8,25,29.1,
Edman, Tommy,669242,2021,245,265,47,14,2,4,16,10.9,6.0,.720,.122,17,97,2,11,3,32,,.267,.400,.317,.319,.133,86.6,8.4,27.7,9,4.1,36.4,13.8,50,50.5,20.5,28.6,
Solak, Nick,669256,2021,224,251,35,9,2,8,16,26.3,6.4,.721,.165,24,91,2,2,9,36,,.242,.419,.320,.315,.176,90.1,10.9,33.7,15,9.2,38.7,30.1,47.2,46.6,27,28.9,
Smith, Will,669257,2021,149,177,25,10,1,5,21,18.1,11.9,.829,.181,19,68,0,1,4,28,,.261,.447,.361,.368,.186,89.4,18,33.9,11,8.9,43.5,16.9,42.3,32.3,35.5,27.6,
Espinal, Santiago,669289,2021,67,70,10,4,1,0,3,18.6,4.3,.571,.090,6,21,0,1,0,7,,.224,.306,.250,.258,.082,82.3,7.8,37,1,1.9,13,20,50.9,44.4,20.4,27.4,
Hiura, Keston,669374,2021,103,117,7,4,1,1,8,38.5,6.8,.427,.087,5,22,0,1,4,9,,.162,.310,.248,.246,.147,91,19.4,33.9,7,11.3,38.7,47.2,52.9,35.5,29,27.2,
Hays, Austin,669720,2021,123,137,18,6,2,5,10,19.7,7.3,.769,.203,15,56,0,0,2,24,,.235,.500,.341,.303,.265,90.2,14.1,27.6,13,13.3,37.8,24.9,43,42.9,30.6,27.4,
Lopez, Nicky,670032,2021,140,169,23,6,3,0,21,13.0,12.4,.634,.086,10,44,0,5,1,25,,.208,.268,.273,.314,.059,87.2,3.9,24.4,0,0,23.6,12.5,41.8,59.1,18.1,28.2,
Raley, Luke,670042,2021,44,50,6,1,0,1,2,32.0,4.0,.553,.091,2,12,0,0,4,3,,.226,.475,.337,.319,.249,91.5,6.3,39.3,4,14.3,39.3,38.5,53.6,53.6,25,28.5,
Rojas, Jose,670351,2021,121,130,8,12,0,3,8,26.9,6.2,.610,.174,8,44,0,2,1,18,,.202,.364,.270,.257,.162,89.8,18.7,32.6,6,7,41.9,26.7,48,38.4,26.7,27.1,
Alvarez, Yordan,670541,2021,172,185,31,13,1,7,6,27.0,3.2,.852,.209,28,88,0,0,5,30,,.271,.501,.352,.319,.230,90.2,11.8,38.5,16,12.3,44.6,21.6,45.9,41.5,23.1,26.5,
Brosseau, Mike,670712,2021,110,122,9,6,0,4,10,37.7,8.2,.590,.164,14,37,0,0,2,15,,.182,.318,.262,.267,.136,90,20.4,33.3,6,9.1,38.5,31.5,47.5,34.8,30.3,27.9,
Kelenic, Jarred,672284,2021,83,92,4,2,0,2,8,28.3,8.7,.378,.096,6,16,0,3,1,7,,.184,.327,.263,.263,.143,87.6,16.8,22.8,4,7,36.8,22,46.5,42.1,35.1,26.1,
Robert, Luis,673357,2021,95,103,19,9,1,1,7,27.2,6.8,.822,.147,8,44,1,4,0,11,,.259,.433,.324,.312,.174,89.1,12.5,42.6,7,10.3,39.7,32.6,61.8,35.3,20.6,28.8,
Kim, Ha-Seong,673490,2021,140,153,18,5,2,3,8,23.5,5.2,.583,.129,17,46,1,5,3,14,,.205,.301,.253,.261,.096,87.4,13.6,29.6,4,3.7,33.3,22.6,42.8,40.7,21.3,28.4,
McCormick, Chas,676801,2021,67,81,6,3,0,4,8,28.4,9.9,.702,.224,18,28,0,2,2,16,,.200,.419,.310,.298,.219,90,20.4,37.7,6,11.3,45.3,36.3,44.8,28.3,43.4,28.9,
Vaughn, Andrew,683734,2021,141,162,16,12,0,4,15,27.8,9.3,.712,.170,12,56,0,0,4,20,,.234,.437,.330,.321,.203,91.8,8.7,34.3,12,11.8,50.5,31.1,45.3,43.1,29.4,26.3,